Rank,SPI,OP,,Weight,"Rate(3,2)",Rate(1)
224,-0.19,37.58389262,0.375838926,,,
225,-0.19,37.75167785,0.377516779,,,
226,-0.19,37.91946309,0.379194631,,,
227,-0.18,38.08724832,0.380872483,,,
228,-0.18,38.25503356,0.382550336,,,
229,-0.18,38.42281879,0.384228188,,,
230,-0.18,38.59060403,0.38590604,,,
231,-0.17,38.75838926,0.387583893,,,
232,-0.17,38.9261745,0.389261745,,,
233,-0.16,39.09395973,0.390939597,,,
234,-0.16,39.26174497,0.39261745,,,
235,-0.15,39.4295302,0.394295302,,,
236,-0.15,39.59731544,0.395973154,,,
237,-0.12,39.76510067,0.397651007,,,
238,-0.11,39.93288591,0.399328859,,,
239,-0.11,40.10067114,0.401006711,,,
240,-0.11,40.26845638,0.402684564,,,
241,-0.1,40.43624161,0.404362416,,,
242,-0.1,40.60402685,0.406040268,,,
243,-0.1,40.77181208,0.407718121,,,
244,-0.1,40.93959732,0.409395973,,,
245,-0.1,41.10738255,0.411073826,,,
246,-0.09,41.27516779,0.412751678,,,
247,-0.08,41.44295302,0.41442953,,,
248,-0.08,41.61073826,0.416107383,,,
249,-0.08,41.77852349,0.417785235,,,
250,-0.07,41.94630872,0.419463087,,,
251,-0.07,42.11409396,0.42114094,,,
252,-0.07,42.28187919,0.422818792,,,
253,-0.07,42.44966443,0.424496644,,,
254,-0.06,42.61744966,0.426174497,,,
255,-0.04,42.7852349,0.427852349,,,
256,-0.04,42.95302013,0.429530201,,,
257,-0.04,43.12080537,0.431208054,,,
258,-0.04,43.2885906,0.432885906,,,
259,-0.04,43.45637584,0.434563758,,,
260,-0.03,43.62416107,0.436241611,,,
261,-0.03,43.79194631,0.437919463,,,
262,-0.02,43.95973154,0.439597315,,,
263,-0.02,44.12751678,0.441275168,,,
264,-0.01,44.29530201,0.44295302,,,
265,-0.01,44.46308725,0.444630872,,,
266,-0.01,44.63087248,0.446308725,,,
267,-0.01,44.79865772,0.447986577,,,
268,-0.01,44.96644295,0.44966443,,,
269,0,45.13422819,0.451342282,,,
270,0,45.30201342,0.453020134,,,
271,0.01,45.46979866,0.454697987,,,
272,0.01,45.63758389,0.456375839,,,
273,0.01,45.80536913,0.458053691,,,
274,0.01,45.97315436,0.459731544,,,
275,0.02,46.1409396,0.461409396,,,
276,0.02,46.30872483,0.463087248,,,
277,0.02,46.47651007,0.464765101,,,
278,0.02,46.6442953,0.466442953,,,
279,0.03,46.81208054,0.468120805,,,
280,0.03,46.97986577,0.469798658,,,
281,0.03,47.14765101,0.47147651,,,
282,0.03,47.31543624,0.473154362,,,
283,0.04,47.48322148,0.474832215,,,
284,0.05,47.65100671,0.476510067,,,
285,0.06,47.81879195,0.478187919,,,
286,0.06,47.98657718,0.479865772,,,
287,0.07,48.15436242,0.481543624,,,
288,0.07,48.32214765,0.483221477,,,
289,0.09,48.48993289,0.484899329,,,
290,0.09,48.65771812,0.486577181,,,
291,0.09,48.82550336,0.488255034,,,
292,0.09,48.99328859,0.489932886,,,
293,0.1,49.16107383,0.491610738,,,
294,0.1,49.32885906,0.493288591,,,
295,0.1,49.4966443,0.494966443,,,
296,0.11,49.66442953,0.496644295,,,
297,0.11,49.83221477,0.498322148,,,
298,0.12,50,0.5,,,
299,0.12,50.16778523,0.501677852,,,
300,0.12,50.33557047,0.503355705,,,
301,0.13,50.5033557,0.505033557,,,
302,0.13,50.67114094,0.506711409,,,
303,0.13,50.83892617,0.508389262,,,
304,0.14,51.00671141,0.510067114,,,
305,0.14,51.17449664,0.511744966,,,
306,0.15,51.34228188,0.513422819,,,
307,0.15,51.51006711,0.515100671,,,
308,0.15,51.67785235,0.516778523,,,
309,0.15,51.84563758,0.518456376,,,
310,0.15,52.01342282,0.520134228,,,
311,0.16,52.18120805,0.521812081,,,
312,0.16,52.34899329,0.523489933,,,
313,0.16,52.51677852,0.525167785,,,
314,0.16,52.68456376,0.526845638,,,
315,0.16,52.85234899,0.52852349,,,
316,0.16,53.02013423,0.530201342,,,
317,0.18,53.18791946,0.531879195,,,
318,0.19,53.3557047,0.533557047,,,
319,0.19,53.52348993,0.535234899,,,
320,0.21,53.69127517,0.536912752,,,
321,0.21,53.8590604,0.538590604,,,
322,0.21,54.02684564,0.540268456,,,
323,0.22,54.19463087,0.541946309,,,
324,0.22,54.36241611,0.543624161,,,
325,0.22,54.53020134,0.545302013,,,
326,0.22,54.69798658,0.546979866,,,
327,0.22,54.86577181,0.548657718,,,
328,0.23,55.03355705,0.55033557,,,
329,0.23,55.20134228,0.552013423,,,
330,0.23,55.36912752,0.553691275,,,
331,0.24,55.53691275,0.555369128,,,
332,0.25,55.70469799,0.55704698,,,
333,0.25,55.87248322,0.558724832,,,
334,0.25,56.04026846,0.560402685,,,
335,0.25,56.20805369,0.562080537,,,
336,0.25,56.37583893,0.563758389,,,
337,0.25,56.54362416,0.565436242,,,
338,0.26,56.7114094,0.567114094,,,
339,0.26,56.87919463,0.568791946,,,
340,0.26,57.04697987,0.570469799,,,
341,0.26,57.2147651,0.572147651,,,
342,0.26,57.38255034,0.573825503,,,
343,0.27,57.55033557,0.575503356,,,
344,0.27,57.71812081,0.577181208,,,
345,0.28,57.88590604,0.57885906,,,
346,0.28,58.05369128,0.580536913,,,
347,0.28,58.22147651,0.582214765,,,
348,0.29,58.38926174,0.583892617,,,
349,0.29,58.55704698,0.58557047,,,
350,0.29,58.72483221,0.587248322,,,
351,0.29,58.89261745,0.588926174,,,
352,0.29,59.06040268,0.590604027,,,
353,0.3,59.22818792,0.592281879,,,
354,0.31,59.39597315,0.593959732,,,
355,0.31,59.56375839,0.595637584,,,
356,0.31,59.73154362,0.597315436,,,
357,0.31,59.89932886,0.598993289,,,
358,0.32,60.06711409,0.600671141,,,
359,0.32,60.23489933,0.602348993,,,
360,0.32,60.40268456,0.604026846,,,
361,0.33,60.5704698,0.605704698,,,
362,0.34,60.73825503,0.60738255,,,
363,0.34,60.90604027,0.609060403,,,
364,0.35,61.0738255,0.610738255,,,
365,0.35,61.24161074,0.612416107,,,
366,0.35,61.40939597,0.61409396,,,
367,0.37,61.57718121,0.615771812,,,
368,0.37,61.74496644,0.617449664,,,
369,0.38,61.91275168,0.619127517,,,
370,0.38,62.08053691,0.620805369,,,
371,0.38,62.24832215,0.622483221,,,
372,0.38,62.41610738,0.624161074,,,
373,0.39,62.58389262,0.625838926,,,
374,0.39,62.75167785,0.627516779,,,
375,0.39,62.91946309,0.629194631,,,
376,0.4,63.08724832,0.630872483,,,
377,0.4,63.25503356,0.632550336,,,
378,0.4,63.42281879,0.634228188,,,
379,0.4,63.59060403,0.63590604,,,
380,0.41,63.75838926,0.637583893,,,
381,0.41,63.9261745,0.639261745,,,
382,0.41,64.09395973,0.640939597,,,
383,0.42,64.26174497,0.64261745,,,
384,0.42,64.4295302,0.644295302,,,
385,0.42,64.59731544,0.645973154,,,
386,0.42,64.76510067,0.647651007,,,
387,0.43,64.93288591,0.649328859,,,
388,0.43,65.10067114,0.651006711,,,
389,0.44,65.26845638,0.652684564,,,
390,0.44,65.43624161,0.654362416,,,
391,0.45,65.60402685,0.656040268,,,
392,0.45,65.77181208,0.657718121,,,
393,0.45,65.93959732,0.659395973,,,
394,0.45,66.10738255,0.661073826,,,
395,0.46,66.27516779,0.662751678,,,
396,0.47,66.44295302,0.66442953,,,
397,0.48,66.61073826,0.666107383,,,
398,0.49,66.77852349,0.667785235,,,
399,0.49,66.94630872,0.669463087,,,
400,0.49,67.11409396,0.67114094,,,
401,0.5,67.28187919,0.672818792,,,
402,0.5,67.44966443,0.674496644,,,
403,0.5,67.61744966,0.676174497,,,
404,0.51,67.7852349,0.677852349,,,
405,0.51,67.95302013,0.679530201,,,
406,0.51,68.12080537,0.681208054,,,
407,0.51,68.2885906,0.682885906,,,
408,0.52,68.45637584,0.684563758,,,
409,0.53,68.62416107,0.686241611,,,
410,0.53,68.79194631,0.687919463,,,
411,0.53,68.95973154,0.689597315,,,
412,0.54,69.12751678,0.691275168,,,
413,0.54,69.29530201,0.69295302,,,
414,0.54,69.46308725,0.694630872,,,
415,0.55,69.63087248,0.696308725,,,
416,0.55,69.79865772,0.697986577,,,
417,0.55,69.96644295,0.69966443,,,
418,0.56,70.13422819,0.701342282,,,
419,0.57,70.30201342,0.703020134,,,
420,0.58,70.46979866,0.704697987,,,
421,0.58,70.63758389,0.706375839,,,
422,0.59,70.80536913,0.708053691,,,
423,0.59,70.97315436,0.709731544,,,
424,0.6,71.1409396,0.711409396,,,
425,0.6,71.30872483,0.713087248,,,
426,0.6,71.47651007,0.714765101,,,
427,0.6,71.6442953,0.716442953,,,
428,0.6,71.81208054,0.718120805,,,
429,0.61,71.97986577,0.719798658,,,
430,0.62,72.14765101,0.72147651,,,
